kanji,pc1_loading,pc2_loading
市,-0.06342578230125236,-0.08694878934261341
町,-0.05133164224851937,-0.09405984946485807
田,0.11876685482118376,0.005743082436183066
大,0.04162171150971393,-0.03574247154108563
郡,0.0014717663627120405,0.03725841756101941
区,-0.04237411112555818,0.05162258923645501
川,0.0003504202111183531,0.08443752343456108
山,-0.004070078166474339,-0.03544470731937581
字,0.039499325780417475,0.007021563239161436
西,-0.13595333593551767,0.10239167679223662
東,-0.11066843972616344,0.09951304737793991
北,-0.02021803138146846,0.13794276878262285
南,-0.07990945388905361,0.005715241961143782
野,-0.014334633497316231,-0.06958251740512868
中,-0.054244909644058155,0.026808338014682364
上,0.09049876241502808,0.072789789438161
島,-0.02845726807432889,-0.08803560052990937
原,-0.014483838473263136,-0.07494715401566863
岡,0.010962138380987191,0.011523667740246041
下,0.050725597860803016,-0.013484649571466797
沢,0.14779344220777343,0.10645273802161147
条,-0.12543816374566802,0.20120906020087678
新,0.003269677404938442,0.005898232446458027
小,0.040188251707538376,-0.03702457076585637
津,-0.033981723704153095,-0.033426860611475755
崎,0.023566358787114265,-0.006101452401969905
松,-0.020297863018050713,-0.06318794426070369
宮,0.004774947467020458,-0.011367498469893328
本,-0.00446982780590966,-0.0263990151359879
谷,0.0579201846340899,0.013415993039990188
屋,0.029751157825750083,-0.04606893311772727
戸,0.051037339509021756,0.036830409665236166
豊,-0.04180785771969759,0.01417191317492993
木,0.010012651291776134,-0.04867759353242645
高,-0.03606172728212954,-0.052032927715161985
井,0.008419634964245424,-0.030467837155000024
京,-0.009306438564476797,-0.012803543794945861
平,0.08695184931835435,0.08073676259420216
村,0.02274838562861425,-0.01812496037478498
名,-0.012238264499752353,-0.03015977449616943
古,0.055011794684968765,0.010095927229064479
神,-0.022990820918655896,0.010956225789161462
石,0.1355191304227026,0.09538609118828452
前,0.09827845735997841,0.038622252376556775
内,0.06764130041281936,0.017284382800298814
福,0.0066846453453941225,-0.022686637098685826
和,0.0026624251411440157,-0.0076281733422980825
日,-0.032731207908859854,-0.046138521371996394
長,0.004895046742797718,-0.039465621580551745
浜,-0.02987023907175681,-0.014334966200223506
城,0.008557845570717534,-0.029434832150418096
台,0.035244379514257726,0.03509672311801417
尾,-0.03148913966293522,-0.029739360068323388
