都道府県名,pc1,pc2
三重県,-0.8847303085779429,-2.7659848159642366
京都府,-0.9754532693906129,-1.3015925708441871
佐賀県,-0.6827003999030914,-2.373341515211817
兵庫県,-2.314908596395036,1.6396869288947706
北海道,-14.235105873518618,20.856254779975647
千葉県,-0.8573251617912258,0.9648159406454481
和歌山県,-0.5132224107695246,-1.2888876725611194
埼玉県,-0.34718242882371725,0.5591652215109968
大分県,-2.6249760681136176,-2.222252039768544
大阪府,-3.0211855671898458,0.30313433311629906
奈良県,-1.6539533166348244,-1.0215684107250178
宮城県,11.272566078431234,4.334628785230658
宮崎県,-2.2626955561519897,-1.117838526735159
富山県,0.9428877908008736,-0.6043945213521433
山口県,-1.917073485469765,-1.3091666041443795
山形県,1.83980981994839,2.3019582559945575
山梨県,-0.4122905165366506,-0.6158817567932373
岐阜県,-0.843980823246821,-1.9854011436503245
岡山県,-1.1705322465547645,-1.111540341274718
岩手県,13.064296568549988,9.6656337022805
島根県,-1.3113904888628507,-2.6829496673551194
広島県,-3.0119119303586386,-2.2423978952067065
徳島県,-0.5724067251199628,-3.4937925965090235
愛媛県,-2.7342957804004646,-1.816989567207708
愛知県,1.209917843784888,-0.42678992445466024
新潟県,0.1481862656859249,0.600689450255164
東京都,0.8491509537264126,1.3866129975649224
栃木県,-0.20606834592734632,-1.436583667913968
沖縄県,-1.6286179304530726,-2.349057921586369
滋賀県,-0.5800950173908218,-2.03924015716167
熊本県,-1.6437204434736234,-1.2883507981005884
石川県,2.6360453907348957,-0.5983886865368769
神奈川県,-2.301102298010082,1.5298853157781351
福井県,0.19279667851012433,-1.8236242206861735
福岡県,-0.02021128568904633,0.5596587382752658
福島県,5.377942903710709,0.8183023527234993
秋田県,9.594378286033887,1.9912821513972354
群馬県,2.3862803653396023,0.014810851313371768
茨城県,0.8865947152126028,0.12101144589700621
長崎県,-0.2672905972158738,-3.1732458784715374
長野県,1.0809449592555458,-1.0810547249580942
青森県,8.633929944674723,3.9439350485986835
静岡県,-0.881454747035414,0.12635649168121238
香川県,-4.205990881302061,-3.132261002192438
高知県,-2.522757009407658,-1.7126214519434666
鳥取県,-2.2569236228583573,-1.4130141612631053
鹿児島県,-1.2541754318264815,-3.289610550560991
