kanji,pc1_loading,pc2_loading
田,0.010987718299484427,-0.10008235279529788
川,-0.024831887391104524,0.043281090894309794
山,-0.002391545812796868,-0.08052038754927
野,0.020201885792464,-0.03296317065490848
島,-0.04749184620213692,-0.026137958232394724
原,-0.027911061750616632,-0.08655917709653871
岡,0.0020322115346053018,-0.017152442438012196
沢,0.05003523898651172,-0.057590865930513664
条,-0.03429374404536113,0.40187832507813076
小,-0.009131636018907676,-0.07923739963766903
津,-0.00286602925791484,0.02524547529946119
崎,-0.0011365537509823369,-0.037444709375809036
松,-0.018466757269063258,-0.036658130261761124
宮,0.01213073352843421,-0.02967908737680207
本,-0.044657721194371024,-0.02589935399341564
谷,0.003296064104331082,-0.05775477199484679
屋,-0.012827352880175615,-0.016901142744319322
戸,0.01601402057119992,-0.042089902374808384
豊,-0.020727425009859846,0.02669513517480647
木,-0.013529628047399503,-0.028751253360877842
高,-0.023741330065883883,-0.036463619990217515
井,-0.013049664584473064,-0.05859376164683313
京,-0.006277520803311154,-0.01693394579420636
平,0.011362372398005397,-0.0012419396953750957
名,-0.02025040022298476,0.007516231688974668
古,0.012481801588551188,0.004164410884178494
神,-0.0008747856629663273,-0.01806255126899034
石,0.10345754916529815,0.024619013000269717
前,-0.0017251470287103308,-0.00069397436502286
内,0.05227904991398598,0.08556607421886964
福,-0.027652530441302225,-0.014184259168847977
和,-0.004922997298708661,0.00974936742426178
日,-0.045002737109317036,-0.02622341338044554
長,0.014328780079745727,-0.027156927909739358
浜,-0.031020202225112554,-0.004244378850405236
城,-0.03950142722132436,-0.05440033769602159
台,-0.08059858398369225,-0.045828132187067806
尾,-0.01319589741356421,-0.02014811511126588
美,-0.03968039637108171,0.06822387156899878
河,0.037932163084783574,0.14630908170607926
寺,-0.05386113216672396,-0.04241471279419117
江,-0.01114584326130644,-0.010125886761096251
地,0.4758000826846382,-0.017888911886580153
白,0.007619452762663941,0.040378692595502384
幌,-0.013609031726679072,0.4330982262936313
都,0.004129093091461076,-0.014340562998249281
見,-0.02144545321169283,0.01567066555217623
賀,0.020955118154648678,-0.008197799336268187
久,0.0525089161034396,-0.05494515762584793
多,-0.015597752357023991,-0.010300155336174304
富,-0.013262804221921562,0.060177161721316014
札,-0.015348279518059879,0.3871227900870327
伊,0.10965733175054206,-0.03874711245483571
水,0.0015928318608371907,0.001253802132565317
加,-0.0020992186058022134,0.0351891494900683
広,-0.03072450554077493,0.038743393102548485
坂,-0.008425027261515351,-0.016271926864214078
岩,0.07750681234745636,0.00693913609146538
吉,-0.0012588179534668347,-0.021152497516566306
佐,0.0016899268724012298,-0.0381576211118666
橋,-0.025280700745655804,-0.02149570029405665
金,-0.00043295599563423283,-0.054502758583154905
知,-0.02190329534847095,0.0892039826000983
倉,0.0003745637094080372,-0.04887543954913036
横,-0.031153615853737205,-0.025933229616794777
安,-0.021940890040856087,-0.011000282095992986
部,-0.0006136904429201453,0.01717870978656696
浦,0.016453836083424104,0.016032648981173535
手,0.07120050411995377,0.018259747898739076
泉,-0.01918165953457137,0.014252749022372556
郷,-0.01607571892843611,-0.004291320442322253
沼,0.01692548205730804,0.002213347957626843
口,0.0018332516521519747,-0.03843522904984442
央,-0.031789347457184855,0.058965664527821586
鹿,0.0011925858078996707,0.022337427277378658
生,-0.0221141545435738,-0.007336086988355072
通,-0.021218667620807746,0.11182974638695009
根,0.004233051009590033,-0.022545659227053674
森,0.03084563110166902,-0.028275945280686977
馬,-0.0027849764162339776,-0.03582456197236754
葉,-0.04640441033773915,0.00026670474152685016
子,-0.0022777299734645985,-0.01735265276075023
瀬,0.010930958229534944,-0.025416322224134764
丘,-0.08589955164839551,0.015473086197398072
塚,-0.022979512802181447,-0.034970280687178716
仙,-0.011708177018589602,-0.038580063523067205
相,0.00691671284879332,-0.04186880419811555
千,-0.04009792283192549,-0.011484944070062989
海,-0.009901933171558587,0.005545502294532057
稲,-0.029452370428898544,0.030410231044521993
須,0.00373869815942465,-0.023256780851035504
旭,-0.025104178765398596,0.03460188691597085
越,-0.007335257530307315,-0.00578171625378263
花,0.056020870244546404,-0.008056142482715963
羽,-0.0134501554668542,0.007215237741492214
割,0.5373410055009297,-0.002750395331598137
里,0.005311726142776784,0.016570592088865854
幡,0.05015444026953006,-0.024195463026199654
波,0.08122149117239405,-0.022255136953808256
方,-0.019362025620087576,-0.029335284535115996
別,-0.013147053936750815,0.1984260037444468
保,0.008084739181139356,-0.07507451287997832
代,0.030723331856434884,-0.036694450181606456
宇,-0.012063721481322549,-0.005679963317199308
清,-0.008265003304963546,0.03838098184547897
黒,0.007991476904474581,-0.011540096779194455
池,-0.03139308031818512,-0.030368133444734113
路,0.002204274453512456,0.061210823558055856
畑,0.02215542813244389,-0.060332708665769716
道,-0.009746920133784294,-0.043456598516986064
場,-0.0050126700991851,-0.04474307220061912
阪,-0.043546466521207756,-0.0005297727248169454
若,-0.0278517956220311,-0.046072104199003205
阿,0.01654489885481787,-0.013387205854255717
岐,-0.009043246048229635,0.022127272064870727
敷,-0.002949104338306468,-0.014117122469393832
州,0.017458327468140696,-0.03940144020812064
天,-0.016080583843372076,0.049314108026111726
間,-0.016112184723634283,-0.027661568540796024
関,-0.015727172641864504,-0.025936394438743
藤,-0.00013745850587381522,-0.03531852799725064
国,-0.006960892882628442,-0.0304249286806969
明,-0.013042000959033866,-0.006160722123506284
良,-0.005975065328388632,0.01810060494320309
巻,0.10388921036603876,-0.0037023835139458525
米,0.004910686927322108,-0.029177530917174663
丹,0.014543965130626496,-0.0032063714044310203
達,0.025018795714542526,-0.02532118955557738
青,-0.016641092002003723,-0.019563811508513343
船,-0.0022212348608552594,-0.02574148434525426
土,-0.001448587236868868,-0.027704692277678248
