都道府県名,市区町村名,自治体名,pc1,pc2,region
京都府,綾部市,京都府綾部市,0.6784072914186104,-0.7383963054207067,近畿
京都府,舞鶴市,京都府舞鶴市,-0.17369324638665498,0.29570727404865377,近畿
京都府,船井郡京丹波町,京都府船井郡京丹波町,1.58802003695798,0.9310739800296013,近畿
京都府,長岡京市,京都府長岡京市,0.40482681294369594,-0.3333157624261416,近畿
佐賀県,三養基郡みやき町,佐賀県三養基郡みやき町,-0.9181800509046025,-0.4457148472622089,九州
佐賀県,三養基郡上峰町,佐賀県三養基郡上峰町,-0.8322021702818786,-0.3251057533688709,九州
佐賀県,三養基郡基山町,佐賀県三養基郡基山町,-0.553174302565741,1.8322491742230336,九州
佐賀県,伊万里市,佐賀県伊万里市,0.16297333512363893,0.38251383878334033,九州
佐賀県,佐賀市,佐賀県佐賀市,-0.6659176943542343,0.32170999922891463,九州
佐賀県,唐津市,佐賀県唐津市,-0.4809914685574223,0.8863057070762056,九州
佐賀県,多久市,佐賀県多久市,-1.5019404517491564,-0.6103901390257728,九州
佐賀県,嬉野市,佐賀県嬉野市,0.8851199909312015,-1.6371812944534099,九州
佐賀県,小城市,佐賀県小城市,-0.8145440597146943,0.426210379694111,九州
佐賀県,東松浦郡玄海町,佐賀県東松浦郡玄海町,-0.0227492033645893,2.5173052691366866,九州
佐賀県,杵島郡大町町,佐賀県杵島郡大町町,-0.8322021702818786,-0.3251057533688709,九州
佐賀県,杵島郡江北町,佐賀県杵島郡江北町,-0.8322021702818786,-0.3251057533688709,九州
佐賀県,杵島郡白石町,佐賀県杵島郡白石町,-0.6396185331792206,0.49411575559373694,九州
佐賀県,武雄市,佐賀県武雄市,1.1833407502126179,-0.4268696611646783,九州
佐賀県,神埼市,佐賀県神埼市,-1.0975909109734328,0.4682999151559517,九州
佐賀県,神埼郡吉野ヶ里町,佐賀県神埼郡吉野ヶ里町,-0.754017238351615,-0.5279460678418563,九州
佐賀県,藤津郡太良町,佐賀県藤津郡太良町,-0.49096930289514373,8.449407377523155,九州
佐賀県,西松浦郡有田町,佐賀県西松浦郡有田町,-0.03200707663768456,-0.11129729983316514,九州
佐賀県,鳥栖市,佐賀県鳥栖市,-0.5903844297109292,-0.06322192659039243,九州
佐賀県,鹿島市,佐賀県鹿島市,1.1979953228702647,3.521130478254125,九州
兵庫県,たつの市,兵庫県たつの市,0.11416590710887103,-0.6713329868612884,近畿
兵庫県,三木市,兵庫県三木市,-1.6355848864921203,-0.857134843483855,近畿
兵庫県,三田市,兵庫県三田市,-0.42965473062169557,-0.22919222046741958,近畿
兵庫県,丹波市,兵庫県丹波市,-0.3241294971806149,-0.33027516773137117,近畿
兵庫県,丹波篠山市,兵庫県丹波篠山市,-0.05133276636617106,-0.2917666018355851,近畿
兵庫県,伊丹市,兵庫県伊丹市,-0.2554211971065276,-0.6355182628961704,近畿
兵庫県,佐用郡佐用町,兵庫県佐用郡佐用町,-0.33892135407932394,-0.025872793057543846,近畿
兵庫県,加古川市,兵庫県加古川市,-1.0629747050597738,-1.1718848496623224,近畿
兵庫県,加古郡播磨町,兵庫県加古郡播磨町,-0.6639518363787987,-0.8868814814241422,近畿
兵庫県,加古郡稲美町,兵庫県加古郡稲美町,0.6732794488830247,0.07469912712684215,近畿
兵庫県,加東市,兵庫県加東市,1.3183157120504727,-0.7228082242379553,近畿
兵庫県,加西市,兵庫県加西市,-0.2698351857751288,-0.36038271566896135,近畿
兵庫県,南あわじ市,兵庫県南あわじ市,-0.6112866756032859,-0.07447814940607637,近畿
兵庫県,多可郡多可町,兵庫県多可郡多可町,-0.3642455561576042,-0.34102785998362434,近畿
兵庫県,姫路市,兵庫県姫路市,-0.6667939320746483,0.011151201404128445,近畿
兵庫県,宍粟市,兵庫県宍粟市,1.8401488625362457,4.1861917293092485,近畿
兵庫県,宝塚市,兵庫県宝塚市,-0.028856382143996072,-0.10009040163663775,近畿
兵庫県,小野市,兵庫県小野市,-0.7851739150900937,-0.25341647913170096,近畿
兵庫県,尼崎市,兵庫県尼崎市,-0.6079411116730413,-0.12338801158079712,近畿
兵庫県,川西市,兵庫県川西市,-0.18504653302216026,-0.47100458047450544,近畿
兵庫県,川辺郡猪名川町,兵庫県川辺郡猪名川町,0.41458559589239785,-0.19457058883175302,近畿
兵庫県,揖保郡太子町,兵庫県揖保郡太子町,-0.03204814956965533,-0.29755602191736513,近畿
兵庫県,明石市,兵庫県明石市,-0.19112429852278456,0.07334076779474227,近畿
兵庫県,朝来市,兵庫県朝来市,0.7273636458239577,-0.27453170903949337,近畿
