kanji,pc1_loading,pc2_loading
田,-0.10646180532612087,0.02795135382084355
川,0.03199195145314033,-0.07845452676412036
山,-0.08752853571992654,0.02723330342774841
野,-0.009616181652695576,0.027156538771237165
島,-0.0825536561184479,-0.06233592048627885
原,-0.09757622216280681,-0.001391041466463436
岡,0.00581354796677405,0.04541099408294879
沢,-0.07510238235785578,0.01501509784284552
小,-0.08677399893704549,0.0817998259976454
津,0.022216498967760352,-0.08771079930583628
崎,-0.020502646371558547,0.019710744391787587
松,0.0015845616413462625,0.05349344470727677
宮,-0.018920238231175942,0.035095383362598355
本,-0.0034712683205518303,0.039015450429104745
谷,-0.007551282264140269,0.03683024333588454
屋,-0.10385271522967053,-0.17292524369510526
戸,-0.033998611034207996,-0.009407801159569015
豊,0.04510112635305691,0.009550325077103993
木,0.004132820961698509,0.04951791663178015
高,-0.007238261735135211,0.0007151526800887392
井,-0.06191705361974192,0.042157688994337944
京,-0.05345805919147594,-0.005981315156213184
平,-0.013697720602690443,0.00765642815187648
名,-0.10500836750375932,-0.196890348353726
古,-0.06503459087013143,-0.17057539309434722
神,-0.007370163075899012,-0.028387620555159306
石,-0.0006507609684022143,-0.03825123706385796
前,-0.0028482478535284753,-2.1808118729078532e-05
内,0.13039556001591382,-0.03762365392522047
福,-0.002402877436139524,0.05040971853208124
和,0.024980416443582273,-0.020114584118963944
日,0.007585329807409087,0.04996246452406775
長,-0.04339836022807515,0.04130953893203726
浜,0.08376692216043305,0.07919774158395011
城,-0.07714793283138137,0.03546272065492225
台,0.0423356626886099,0.3106167814554931
尾,-0.004411297871847348,0.07419657949655158
美,0.06312355122458059,-0.0366738324157754
河,0.18356939736324898,-0.07775121477445517
寺,-0.0458840851789866,0.016840035723025303
江,-0.013696568703848132,-0.020298509526580452
白,0.03363224683066499,-0.019009210386348997
幌,0.39528706032365385,-0.10793521417751459
都,-0.0634267421443929,-0.01140989168209544
見,0.025640218940812066,0.019215872088425102
賀,0.037375600001725656,-0.007682680069532308
久,-0.06991633409624146,-0.03652668868285303
多,0.007620339718350173,0.007927539635657123
富,0.0949354113832644,-0.017442361466503183
札,0.3344295249775746,-0.08299654098024424
伊,-0.053108722389692685,-0.04880743448050869
水,0.021829894584220827,0.021243703256034682
加,0.05964577637615294,-0.06955795237247972
広,0.0212709337958661,0.01671536551494987
坂,-0.037944188684638086,0.018114286607055836
岩,0.030852599825619866,-0.0333856369092208
吉,-0.0051112846717119315,-0.021512677419353664
佐,-0.02668378980254536,-0.027452832673854254
橋,-0.031560711922014595,0.033338237338485406
金,-0.06237152486194342,0.0063677476338111555
知,0.08611603172057726,-0.055705783426299234
倉,-0.038942774809370855,0.0316298290166066
横,0.057355239401709786,0.07725084296512827
安,-0.012395111123736854,-0.013217035022293244
部,0.02212928611136184,0.029855486910084644
浦,0.0623443448583079,-0.031064647895129603
手,0.03562227794233931,-0.004558745666079971
泉,0.03037151469689628,0.028229003495415652
郷,0.00795945901314818,-0.020917289125433596
沼,-0.027120341719338283,-0.022396947942087273
口,-0.03284529019078168,-0.0024294315204085003
央,0.10021753426800416,0.04527763233336974
鹿,0.008898674312670538,-0.013518365212929363
生,0.006134757885038779,0.12706491394243488
通,0.11219247119118538,-0.09142588024306592
根,-0.044267004514124804,-0.012296548577871758
森,-0.04423870535465536,0.0293500398029607
馬,-0.06354617238910515,-0.02676489570143269
葉,0.12057237994796897,0.28628270730760785
子,0.004150483537957626,0.04330954516554395
瀬,0.00949020146141667,-0.047018124517239406
丘,0.06865739810048418,0.22034511922265385
塚,-0.06680843108418096,0.01763390305581025
仙,-0.03487223661501205,0.10051674420508946
相,-0.03194248224592503,0.036152553574897946
千,0.04225885496016003,0.17341323030346806
海,0.015206524152615305,-0.00225970006782479
稲,0.07106048862787265,0.044304873515361755
須,-0.015501135564621332,-0.035895825305439284
旭,0.04242071851441041,0.03946601852899721
越,-0.011921616378204408,-0.007276139477562979
花,-0.026977650114864925,0.05260431462210074
羽,0.017883177134994127,0.04864575361493991
里,0.008419788493783695,-0.01269057627527876
幡,-0.01020758458734087,0.00918238344173262
波,-0.0699032477006921,-0.039256838483288786
方,-0.017256082245340507,0.025354756268314987
別,0.21123588872223864,-0.016497297224023842
保,-0.07391239465029262,0.024378800299698505
代,-0.0440901376390275,0.025886871018768465
宇,-0.013521447091550981,-0.03807271092762139
清,0.052798406338939556,0.024878514126703402
黒,-0.006502602074259619,0.01574564068168126
池,-0.04087158437284639,0.03740573162669133
路,0.0411820960601178,-0.08601388291641665
畑,-0.051351883828939175,0.020340882179116334
道,-0.0650141335661024,0.03944511579181113
場,-0.08155000512130407,0.03519122428222439
阪,-0.023800229680026153,0.03196247158714811
若,-0.01382629512702168,0.1543147657564476
阿,-0.03420679751976917,-0.057321645255880536
岐,0.026955990630163327,-0.04194351321372573
敷,-0.00479525824338487,-0.026960805143932433
州,-0.02018220849914569,0.03507297159967629
天,0.08589390089478091,-0.09175212190431997
間,-0.012838975351050587,0.002721622040701764
関,-0.04106256410331318,-0.030360100922945898
藤,-0.03874678804834832,0.029627605208954917
国,-0.04688420307763899,-0.04888135500613417
明,-0.005351193429342346,0.024173294932443773
良,0.041075507036800525,-0.0022853075636233046
巻,-0.00272965787221722,-0.003326300916063283
米,-0.04952596605584358,-0.012266948625024044
丹,-0.023835049458973138,0.00046895328732706257
達,-0.06452036522549537,-0.009057815522143705
青,-0.003804899138311121,0.1757519797374577
船,-0.035930545200504316,-0.0497067006371786
土,-0.002528126344879288,0.006639349428208472
御,-0.05200302086069068,-0.009075364694000342
鶴,0.016450527996071034,-0.016037421037428595
春,0.022486585492181112,0.04432939179598696
向,-0.03530600683430193,0.0777732832148991
之,-0.044674775852459624,0.012074180055458971
立,-0.011233548060195124,0.0069491708301437465
熊,0.008402155007247865,0.04923443073178074
林,-0.03308600385597307,0.08606834881912245
辺,0.011552427126169041,-0.03785299910547027
秋,-0.02832674858946627,0.007540516235313162
太,0.00969173981136813,0.03990647118871041
飯,-0.060733354784359476,-0.019945957759606364
鳥,-0.010373170101199784,0.03779523597419335
潟,-0.007853740279296638,0.0008959295819001758
柳,-0.026152348091316675,-0.0062937828984243535
赤,-0.02930653755268695,0.02622531923690165
府,0.03576417232502988,0.014872131419539868
門,-0.02225859922580069,0.013955433078321365
矢,-0.039382873977885605,-0.0002997201531150129
出,-0.0036158306728848494,-0.00040313787285728653
今,-0.04244434391625107,0.008414608615615186
会,-0.0009381320099503394,-0.04508597104939364
奥,-0.029129208569876445,-0.033725204860337143
阜,0.0008504974476006039,-0.02176227507326623
治,-0.02843616567045266,0.020354676434072395
丸,-0.08257274380746797,0.0005300296285958227
喜,-0.02544944862733578,-0.02071926582269376
荒,-0.023484795724627562,0.023699902287063614
元,0.006648719659811517,-0.011675630696931122
標,0.02506728073329803,-0.04280966039398432
取,-0.007658901569644802,0.014599373991631512
塩,0.08572411678934133,-0.10231334459942311
館,-0.028535211678077314,0.03485823284572683
園,0.09063914151761111,0.13964543352152586
志,0.01143342117229397,-0.00839684743555552
緑,0.0838883382867144,0.13004724868216613
桜,-0.03921958457389258,0.09042305390884603
玉,-0.06850333896095828,-0.061476178773926894
能,0.004077218300952401,0.02027642697502328
常,0.014783856176420593,0.020449037491270017
亀,-0.06669969768915239,-0.010924004939112985
堂,-0.1272227639720097,0.020005450003670794
光,0.0070381941802295294,0.04165981617366499
栄,0.10630502225548727,0.04935067986531391
湯,0.002270919219095599,-0.028940480176412722
刈,-0.007723527130806696,0.03425240539525001
幸,0.07325593961763599,0.019688412172051868
徳,-0.045474959000130474,-0.025080838990315515
堀,-0.09451545589667348,0.04944895345137087
茂,0.05426466786909693,-0.0388972519886738
竹,-0.018807832062023605,0.016434199993703297
後,-0.02159963471762289,0.010305192902034228
朝,-0.000817288495704015,0.05897790526933088
深,0.007327781264467759,-0.052862697947932406
角,-0.030293890140288854,0.03132934788546805
渡,-0.039784992511834885,-0.07590713873522804
柴,-0.022625962372509988,-0.002549178313621118
那,-0.008042645795872567,-0.06696117813522894
王,-0.02849391357855218,0.047295061923875364
草,0.04139977449773702,-0.030923209556992064
蒲,-0.03125780787546789,0.020211145371186633
士,0.16934261463341463,-0.06684154998127538
愛,0.03512524446021378,-0.04458993955410549
来,0.01943933766201748,-0.01735154002295056
尻,-0.06666551420942064,-0.1272577235420916
帯,0.02103398662528203,0.0009120444162515225
合,0.05090831521751102,0.051699013951428445
成,-0.011193046084776606,0.0020635479761266225
紫,-0.04497987106099804,-0.006815198585016101
栗,-0.03651018327516517,0.010372648986102698
利,-0.04719746041587762,-0.09989291669495119
所,-0.038353568807926855,-0.0048510930249423215
垣,-0.002697869693660592,0.010240516923822865
室,0.03329124459888281,-0.011193120558357002
砂,0.022415636558860974,-0.01142415565048858
滝,0.015882362828264926,-0.016487533316230027
分,-0.016715069753049,0.007611478921412738
宿,-0.013221112619306204,0.04154131849839259
楽,-0.002336919973823229,0.025378483498921398
堺,0.006577725558381524,0.02832304726441089
永,-0.0019738158267834003,-0.012365047949534986
港,0.013593438702556793,-0.002390605239488616
麻,0.015038698007720373,-0.08728876639492067
庄,-0.022509376238238545,0.0032096747240383133
桑,-0.06425442330380475,-0.007076317807906062
双,0.08696343633374905,0.17524850006824352
足,0.006116825090116794,-0.039451727704297106
住,-0.008395894707554174,0.020045346860176484
甲,0.01993482208258655,-0.022002401941703827
入,-0.027467494132022336,0.013004747291190213
穂,-0.009629916700926866,0.0055047388206357906
牧,-0.02584251751378762,0.04807078395741981
宝,-0.011813860668484654,0.005293416955278367
岸,0.09502684102731251,0.05418982838322388
蔵,-0.025566511571705766,0.04402976045180798
柏,-0.004125960894263082,0.03624333746894817
浅,-0.004469594195394091,0.0357013529617974
曽,-0.006791284985398457,0.032530150650906905
遠,0.039117301388723304,-0.009218760344917311
音,0.1297030571867102,-0.0614321827076539
真,0.02755737126203107,0.018468340936395457
猪,-0.051921672079449414,-0.1390805818307166
香,-0.021146009985389996,-0.023140005299057444
比,-0.002454966677077029,0.01927339934374837
板,-0.01636672961225359,0.008320543119929606
登,0.04363035578574145,0.014323858519384
居,0.05083150795838801,-0.06626604257356374
奈,0.025415209554772073,-0.006033093510109419
勝,0.047800550956720526,-0.028159211277134805
作,-0.006118190269736649,0.009985559442878548
理,-0.01119921952485062,-0.08514313223671538
杉,-0.01712439967345302,0.0024019370871195245
姫,-0.01948777480889987,-0.031002343332282554
伏,0.023772411296873734,0.00048353998339281966
犬,0.0012898317869066908,-0.004008404066063204
軽,-0.0248680240459096,-0.05706706646040271
駒,0.015394332075126768,0.12201232585056161
釧,0.0521020463258599,-0.0710043082966723
留,-0.051755314415216656,-0.005075112846760626
亘,-0.011331600217934482,-0.0742606825814785
月,0.0032315089980711766,0.026683249194250386
世,-0.031701950399550954,0.0055332689222222405
切,-0.06918262601469899,-0.0015991615480246417
盛,-0.006463368111566838,0.0021300061909169986
綾,0.005501210607313282,-0.014379157332009281
万,-0.016286414077675906,-0.01639550765967192
武,-0.007120288795360736,0.010182950021820675
家,-0.08994258029563927,-0.009388876833631292
脇,-0.031119105967979465,-0.057209699900992325
寄,-0.0020813784829971757,-0.08354932635523604
舘,-0.09793313537115288,-0.02019993590345863
形,-0.03755476334862199,0.016043567929806907
篠,-0.010983082597247673,-0.051297312236001064
寒,0.11255646161126172,-0.072109574175092
更,0.1602148126362713,-0.07548146085470096
萩,-0.011489696915184488,0.0024150061595704137
笹,-0.016789445032256024,0.0364499383186979
静,0.033652651493739374,0.005496647774864763
滑,0.020347251288571396,0.0012946453712718183
片,-0.05549264880491052,-0.04112141386044148
頭,-0.04488443941945385,-0.03436326914326038
陽,-0.0016193465720988492,0.06809749983505005
半,-0.017174624044305864,-0.02429138579920457
厚,0.12895669815173288,0.04594353432267178
坪,-0.059742668800038604,0.0030334989947904557
梅,-0.023143620637347734,0.12623261328884655
弘,0.039867976359327345,-0.011392074248900213
外,-0.05639806158232919,-0.020386925986057167
輪,0.008060801874028505,-0.014636385117207383
槻,0.007057606696030774,-0.009069114116976935
昭,-0.012368958212819393,-0.04729704116467266
仁,-0.004287563366301762,-0.010890297368041053
折,-0.07175591414622513,0.017081267151801454
弥,0.025361135557557726,0.019065716721817436
反,-0.06393237955533039,0.010132660261391587
有,-0.03406211234137966,-0.008328717313672638
守,-0.012894774438602746,0.011154522077281476
勢,0.004916209923973257,-0.007675659270231896
気,-0.00255412710465071,0.04447372099286854
牛,0.020460216628292355,-0.009441307982535606
父,-0.008798457483380285,-0.012129908910386625
雲,0.0007528907550841042,-0.0009372176380542982
布,0.02310660825614924,0.012124453683710802
荘,0.003195433518318425,-0.06671553846632451
末,0.01265547577196332,0.026951116567613814
鳴,-0.04960516924345184,-0.012471161109480712
庭,-0.00039071878511273385,0.02974630509026699
伯,0.019807006541958286,0.004628418273911248
磐,-0.011781039604884622,-0.037951167821440784
浪,0.009217373814537886,0.053726173551104255
耶,-0.012551532672404156,-0.13863691459497074
沖,-0.02282525210975393,0.006880816589412298
